From Bus,To Bus,R,X,B,Magnitude,Angle,Y
1,2,0.0035,0.0411,0.6987,0,0,24.24315444
2,3,0.0013,0.0151,0.2572,0,0,65.98109253
3,4,0.0013,0.0213,0.2214,0,0,46.86115878
3,18,0.0011,0.0133,0.2138,0,0,74.93212351
5,4,0.0008,0.0128,0.1342,0,0,77.97285769
5,8,0.0008,0.0112,0.1476,0,0,89.05881248
6,5,0.0002,0.0026,0.0434,0,0,383.4824944
6,7,0.0006,0.0092,0.113,0,0,108.4652289
6,11,0.0007,0.0082,0.1389,0,0,121.5092841
7,8,0.0004,0.0046,0.078,0,0,216.5740409
9,8,0.0023,0.0363,0.3804,0,0,27.49307777
10,11,0.0004,0.0043,0.0729,0,0,231.5584223
10,13,0.0004,0.0043,0.0729,0,0,231.5584223
11,12,0.0016,0.0435,0,1.006,0,22.97297109
13,12,0.0016,0.0435,0,1.006,0,22.97297109
13,14,0.0009,0.0101,0.1723,0,0,98.61913756
14,4,0.0008,0.0129,0.1382,0,0,77.37074167
14,15,0.0018,0.0217,0.366,0,0,45.92522389
16,15,0.0009,0.0094,0.171,0,0,105.898697
16,17,0.0007,0.0089,0.1342,0,0,112.0136217
17,18,0.0007,0.0082,0.1319,0,0,121.5092841
17,27,0.0013,0.0173,0.3216,0,0,57.64095678
19,16,0.0016,0.0195,0.304,0,0,51.11029209
19,20,0.0007,0.0138,0,1.06,0,72.3707234
21,16,0.0008,0.0135,0.2548,0,0,73.94435415
22,21,0.0008,0.014,0.2565,0,0,71.31223817
22,23,0.0006,0.0096,0.1846,0,0,103.9638103
23,24,0.0022,0.035,0.361,0,0,28.51515213
24,16,0.0003,0.0059,0.068,0,0,169.2728423
25,2,0.007,0.0086,0.146,0,0,90.18162834
25,26,0.0032,0.0323,0.513,0,0,30.80892511
26,27,0.0014,0.0147,0.2396,0,0,67.72078045
26,28,0.0043,0.0474,0.7802,0,0,21.01076815
29,26,0.0057,0.0625,1.029,0,0,15.9338727
29,28,0.0014,0.0151,0.249,0,0,65.94234807
30,2,0,0.0181,0,1.025,0,55.24861878
31,6,0,0.025,0,1.07,0,40
32,10,0,0.02,0,1.07,0,50
33,19,0.0007,0.0142,0,1.07,0,70.33712488
34,20,0.0009,0.018,0,1.009,0,55.48624105
35,22,0,0.0143,0,1.025,0,69.93006993
36,23,0.0005,0.0272,0,1,0,36.75849586
37,25,0.0006,0.0232,0,1.025,0,43.08904071
38,29,0.0008,0.0156,0,1.025,0,64.01843997
39,1,0.001,0.025,0.75,0,0,39.96803835
39,9,0.001,0.025,1.2,0,0,39.96803835
