From bus,To bus,Capacity
1,2,24.2432
2,3,65.9811
3,4,46.8612
3,18,74.9321
5,4,77.9729
5,8,89.0588
6,5,383.4825
6,7,108.4652
6,11,121.5093
7,8,216.574
9,8,27.4931
10,11,231.5584
10,13,231.5584
11,12,22.973
13,12,22.973
13,14,98.6191
14,4,77.3707
14,15,45.9252
16,15,105.8987
16,17,112.0136
17,18,121.5093
17,27,57.641
19,16,51.1103
19,20,72.3707
21,16,73.9444
22,21,71.3122
22,23,103.0638
23,24,28.5152
24,16,169.2728
25,2,90.1816
25,26,30.8089
26,27,67.7208
26,28,21.0108
29,26,15.9339
29,28,65.9423
30,2,55.2486
31,6,40
32,10,50
33,19,70.3371
34,20,55.4862
35,22,69.9301
36,23,36.1589
37,25,43.089
38,29,64.018
39,1,39.968
39,9,39.968
